epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,22439.3,1.826,2.31724,0.90961,0.98113,0.34945,0.02807,0.11113,0.05866,0.21421,0.02651,0.10235,0.04359,2.26352,2.41793,1.15008,1.03491,0.0017129,0.0017129,0.0017129
31,23187.9,1.81873,2.32488,0.90725,0.96703,0.54185,0.02998,0.12297,0.06708,0.54185,0.02998,0.1207,0.06565,1.70693,2.01004,0.95095,0.94439,0.001703,0.001703,0.001703
32,23988.6,1.84775,2.3285,0.90167,0.9768,0.50625,0.0298,0.12017,0.07163,0.5249,0.02894,0.11927,0.05972,1.76746,2.0701,0.92049,0.94854,0.0016931,0.0016931,0.0016931
33,24826.8,1.89393,2.41804,0.93587,0.97702,0.50592,0.02876,0.11442,0.06655,0.50155,0.02703,0.10939,0.05139,1.86614,2.13656,1.00331,0.96798,0.0016832,0.0016832,0.0016832
34,25609.2,1.83601,2.3366,0.90196,0.97021,0.34806,0.02755,0.10837,0.05922,0.17414,0.02617,0.10032,0.04099,2.02486,2.22454,1.04393,0.99298,0.0016733,0.0016733,0.0016733
35,26355.9,1.82037,2.33925,0.88343,0.97283,0.33508,0.03188,0.12424,0.06769,0.25675,0.03067,0.11885,0.05934,1.75863,2.1117,0.89336,0.95134,0.0016634,0.0016634,0.0016634
36,27214.1,1.8078,2.31549,0.88701,0.97212,0.45,0.02998,0.1218,0.06743,0.39679,0.02859,0.11713,0.06448,1.70336,2.01987,0.87434,0.93887,0.0016535,0.0016535,0.0016535
37,28055.9,1.85235,2.34336,0.88545,0.96634,0.37334,0.02894,0.12027,0.06614,0.35098,0.0272,0.11273,0.05099,1.90168,2.0638,0.93438,0.96692,0.0016436,0.0016436,0.0016436
38,28935.2,1.85421,2.34226,0.88776,0.97756,0.39807,0.03084,0.12196,0.06652,0.38394,0.0298,0.11757,0.06131,1.71087,2.07817,0.90775,0.94283,0.0016337,0.0016337,0.0016337
39,29709.4,1.7672,2.2503,0.85778,0.96365,0.52069,0.02963,0.12157,0.06701,0.47309,0.02824,0.1137,0.06238,1.68006,1.96095,0.87608,0.93687,0.0016238,0.0016238,0.0016238
40,30499.8,1.77642,2.27273,0.85965,0.96001,0.46753,0.03067,0.12252,0.06637,0.47432,0.02755,0.10771,0.04667,1.81796,2.03085,0.90338,0.95591,0.0016139,0.0016139,0.0016139
41,31356.2,1.82172,2.29228,0.86542,0.9734,0.34027,0.02772,0.11069,0.05532,0.29774,0.02426,0.09863,0.04082,1.93218,2.26579,0.95447,0.97805,0.001604,0.001604,0.001604
42,32101.8,1.85974,2.36662,0.89183,0.9691,0.47591,0.02946,0.12152,0.07093,0.44303,0.02928,0.12043,0.05588,1.79094,2.04547,0.92984,0.94736,0.0015941,0.0015941,0.0015941
43,32867,1.80435,2.32073,0.87863,0.96269,0.20479,0.02963,0.12182,0.06497,0.19401,0.02807,0.11313,0.05347,1.88356,2.2333,1.10296,0.97734,0.0015842,0.0015842,0.0015842
44,33684.1,1.84739,2.31815,0.88587,0.97851,0.27825,0.02859,0.15603,0.07939,0.26138,0.02686,0.14573,0.06591,1.929,2.27783,1.43972,0.98428,0.0015743,0.0015743,0.0015743
45,34500.7,1.83125,2.31378,0.87827,0.95296,0.19754,0.03067,0.11984,0.04811,0.16853,0.02617,0.09939,0.03491,2.37489,2.54713,1.1458,1.05983,0.0015644,0.0015644,0.0015644
46,35345.4,1.79401,2.28114,0.87555,0.96936,0.4486,0.02842,0.11607,0.06781,0.19222,0.02998,0.11559,0.0593,1.79414,2.07896,0.96567,0.96246,0.0015545,0.0015545,0.0015545
47,36168.1,1.77426,2.23245,0.85521,0.96654,0.56914,0.02842,0.1155,0.06497,0.50142,0.02617,0.10757,0.05441,1.88569,2.19479,0.93302,0.97197,0.0015446,0.0015446,0.0015446
48,36928.1,1.76545,2.24779,0.84859,0.95948,0.55933,0.02946,0.12369,0.06868,0.55275,0.02911,0.12084,0.06085,1.74338,1.97313,0.8614,0.94667,0.0015347,0.0015347,0.0015347
49,37698.2,1.79422,2.27767,0.8596,0.96154,0.47484,0.03084,0.12428,0.06868,0.43174,0.02842,0.11468,0.05442,1.73906,2.0222,0.90554,0.94592,0.0015248,0.0015248,0.0015248
50,38575.2,1.79109,2.263,0.88018,0.96851,0.47352,0.02963,0.12162,0.07301,0.43648,0.0279,0.11468,0.0583,1.70357,1.99422,0.86919,0.93877,0.0015149,0.0015149,0.0015149
51,39480.3,1.78326,2.27238,0.8582,0.9521,0.60601,0.02946,0.11768,0.06163,0.3845,0.02651,0.10516,0.0432,1.92711,2.13853,0.93303,0.97351,0.001505,0.001505,0.001505
52,40313.3,1.78904,2.26128,0.85547,0.95669,0.31392,0.02876,0.11152,0.04346,0.22828,0.02201,0.08366,0.02353,2.45536,2.39567,1.22526,1.07252,0.0014951,0.0014951,0.0014951
53,41057.1,1.78861,2.25192,0.85218,0.95937,0.53236,0.02928,0.11816,0.04621,0.41633,0.02565,0.10029,0.03194,2.19947,2.47051,1.04569,1.02054,0.0014852,0.0014852,0.0014852
54,42025.8,1.79409,2.23157,0.84623,0.95993,0.49292,0.02998,0.12522,0.07198,0.4938,0.02928,0.12061,0.0601,1.67355,1.91626,0.85996,0.93195,0.0014753,0.0014753,0.0014753
55,42723.2,1.77643,2.25663,0.84509,0.94994,0.56911,0.03015,0.12511,0.07093,0.55009,0.0298,0.12349,0.06909,1.6221,1.89707,0.82926,0.92403,0.0014654,0.0014654,0.0014654
56,43519.8,1.79867,2.26608,0.85818,0.95915,0.47101,0.02963,0.12124,0.06876,0.39642,0.02651,0.1085,0.05303,1.75448,2.02865,0.86948,0.94158,0.0014555,0.0014555,0.0014555
57,44277.4,1.69659,2.19857,0.83553,0.95248,0.53584,0.03032,0.12637,0.07096,0.49796,0.02911,0.11894,0.0587,1.68644,1.96466,0.82116,0.93346,0.0014456,0.0014456,0.0014456
58,45013.2,1.75836,2.22759,0.82852,0.96229,0.36564,0.02859,0.11508,0.06443,0.18222,0.02842,0.10801,0.0515,1.80827,2.14761,0.90263,0.95454,0.0014357,0.0014357,0.0014357
59,45844.7,1.74947,2.20972,0.84257,0.95297,0.54685,0.02911,0.12146,0.07127,0.45194,0.02703,0.11252,0.05237,1.72991,2.0147,0.88024,0.93819,0.0014258,0.0014258,0.0014258
60,46679.8,1.71649,2.21878,0.84402,0.9554,0.46706,0.0305,0.12503,0.07374,0.45388,0.02998,0.12123,0.06314,1.6785,1.96499,0.85262,0.9306,0.0014159,0.0014159,0.0014159
61,47466.7,1.75034,2.21492,0.83143,0.96026,0.49842,0.03119,0.12788,0.07269,0.50162,0.0305,0.12431,0.06672,1.61758,1.9067,0.81284,0.9243,0.001406,0.001406,0.001406
