epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1794.1,1.83089,2.38648,0.9016,0.97358,0.68463,0.62592,0.64962,0.30385,0.66524,0.59653,0.6108,0.23327,2.09378,2.3859,1.13042,1.03278,0.001703,0.001703,0.001703
32,1850.53,1.8001,2.31597,0.8542,0.96367,0.49169,0.536,0.40639,0.16193,0.4652,0.50191,0.36391,0.12165,2.41536,2.79185,1.41633,1.0973,0.0016931,0.0016931,0.0016931
33,1910.39,1.76159,2.2853,0.8585,0.96138,0.65721,0.59859,0.60079,0.24186,0.61921,0.56127,0.54165,0.18457,2.15057,2.44761,1.24877,1.04291,0.0016832,0.0016832,0.0016832
34,1966.47,1.79136,2.29405,0.85684,0.95683,0.5132,0.53656,0.44886,0.18088,0.47209,0.48663,0.38441,0.11742,2.38753,2.58169,1.69316,1.08699,0.0016733,0.0016733,0.0016733
35,2025.12,1.77852,2.3099,0.85271,0.9597,0.56164,0.6027,0.5433,0.25472,0.5437,0.57273,0.5006,0.18265,2.07615,2.36614,1.72496,1.0233,0.0016634,0.0016634,0.0016634
36,2081.19,1.79,2.31745,0.86609,0.96471,0.59219,0.62768,0.57457,0.22529,0.54607,0.57038,0.49047,0.14718,2.22123,2.44292,1.53655,1.05215,0.0016535,0.0016535,0.0016535
37,2140.39,1.78393,2.31312,0.8629,0.96317,0.35742,0.39847,0.23467,0.08619,0.31444,0.34852,0.18714,0.05351,2.84623,3.04269,2.9092,1.18683,0.0016436,0.0016436,0.0016436
38,2197.38,1.79622,2.35897,0.87037,0.97135,0.73339,0.70644,0.70911,0.30914,0.70901,0.67663,0.67143,0.27006,1.95163,2.20584,1.08992,1.00423,0.0016337,0.0016337,0.0016337
39,2264.13,1.76999,2.30941,0.84982,0.95902,0.65136,0.65354,0.62094,0.2635,0.62276,0.61221,0.56428,0.18782,2.07301,2.39116,1.34791,1.01422,0.0016238,0.0016238,0.0016238
40,2320.64,1.75584,2.28398,0.83879,0.96643,0.74938,0.69321,0.71362,0.3036,0.72275,0.66111,0.66501,0.24897,1.96462,2.27372,1.13328,1.00641,0.0016139,0.0016139,0.0016139
41,2380.76,1.7764,2.29275,0.83793,0.95964,0.61194,0.63562,0.58521,0.26405,0.59237,0.5933,0.53211,0.18225,1.99868,2.25454,1.54877,1.00695,0.001604,0.001604,0.001604
42,2439.12,1.76654,2.36238,0.84765,0.95248,0.63952,0.56039,0.56192,0.16763,0.49878,0.43835,0.37677,0.08984,2.65048,2.5924,1.47252,1.14776,0.0015941,0.0015941,0.0015941
43,2498.2,1.79152,2.33279,0.85454,0.96243,0.65426,0.68234,0.63405,0.27024,0.62218,0.62974,0.57527,0.19577,2.13774,2.32602,1.25634,1.03514,0.0015842,0.0015842,0.0015842
44,2555.88,1.78667,2.30847,0.8465,0.95169,0.55319,0.61269,0.50726,0.18443,0.51218,0.52395,0.41438,0.11098,2.3347,2.50751,1.58975,1.06472,0.0015743,0.0015743,0.0015743
45,2618.92,1.75738,2.28994,0.84117,0.95542,0.73393,0.68009,0.68652,0.30787,0.71688,0.65703,0.65053,0.25296,1.98989,2.22592,1.19093,1.00783,0.0015644,0.0015644,0.0015644
46,2678.61,1.73728,2.25809,0.82854,0.95477,0.48715,0.55598,0.42628,0.17954,0.45436,0.5009,0.37244,0.12535,2.31529,2.54295,2.00106,1.07073,0.0015545,0.0015545,0.0015545
47,2733.9,1.77534,2.2796,0.84748,0.95699,0.69989,0.7035,0.68114,0.31817,0.68239,0.66672,0.64161,0.24187,1.92398,2.22416,1.22297,0.98796,0.0015446,0.0015446,0.0015446
48,2790.54,1.75541,2.26803,0.83143,0.95887,0.65948,0.61828,0.61325,0.19766,0.55219,0.51102,0.45913,0.11578,2.45219,2.61601,1.36305,1.09255,0.0015347,0.0015347,0.0015347
49,2845.76,1.78243,2.30951,0.85814,0.96622,0.7163,0.69967,0.70299,0.33503,0.69637,0.67665,0.67189,0.27531,1.92067,2.15765,1.16756,0.98839,0.0015248,0.0015248,0.0015248
50,2910.76,1.78133,2.27807,0.85136,0.95529,0.34824,0.37144,0.2182,0.09031,0.31861,0.32706,0.18481,0.05706,2.69389,2.75264,2.43034,1.15848,0.0015149,0.0015149,0.0015149
