epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1786.97,1.79432,2.37491,0.87686,0.96678,0.49923,0.55774,0.43118,0.19447,0.46996,0.50926,0.38391,0.12805,2.3008,2.49762,1.81485,1.07303,0.001406,0.001406,0.001406
32,1843.17,1.77214,2.29915,0.84165,0.95923,0.49422,0.50279,0.39832,0.1677,0.45658,0.45636,0.34609,0.10856,2.44408,2.92779,1.49664,1.10184,0.0013862,0.0013862,0.0013862
33,1900.55,1.75736,2.29489,0.84824,0.96033,0.6505,0.54694,0.56479,0.27678,0.64499,0.531,0.54439,0.22991,1.86492,2.28942,1.22935,0.99276,0.0013664,0.0013664,0.0013664
34,1954.1,1.77694,2.30119,0.84163,0.95454,0.58909,0.49339,0.48129,0.21841,0.56915,0.46224,0.44985,0.16292,2.24972,2.66531,1.36975,1.07255,0.0013466,0.0013466,0.0013466
35,2009.97,1.77634,2.29621,0.82948,0.96189,0.76915,0.55716,0.64109,0.30149,0.75495,0.54687,0.62001,0.27259,1.84794,2.2349,1.33346,0.99644,0.0013268,0.0013268,0.0013268
36,2065.84,1.77242,2.29458,0.84486,0.96114,0.66524,0.67117,0.66214,0.30462,0.64633,0.64561,0.62886,0.2364,1.90283,2.18943,1.34016,0.99146,0.001307,0.001307,0.001307
37,2123.47,1.74366,2.27907,0.84164,0.95605,0.76598,0.66463,0.71094,0.33445,0.741,0.64884,0.6725,0.26047,1.91112,2.17408,1.1165,0.99663,0.0012872,0.0012872,0.0012872
38,2180.78,1.768,2.30823,0.84254,0.96728,0.70495,0.48634,0.54896,0.14438,0.57942,0.41023,0.40836,0.09627,2.62541,2.81407,1.65757,1.16835,0.0012674,0.0012674,0.0012674
39,2236.15,1.75972,2.25668,0.82844,0.95794,0.78023,0.7063,0.7341,0.31524,0.75786,0.67234,0.69241,0.25327,1.99568,2.31676,1.08116,1.00932,0.0012476,0.0012476,0.0012476
40,2291.03,1.7231,2.23353,0.81817,0.96005,0.71626,0.67235,0.67089,0.31921,0.7113,0.65442,0.65595,0.27401,1.92502,2.18087,1.15605,0.98971,0.0012278,0.0012278,0.0012278
