epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1597.68,1.89999,2.27267,0.97671,0.95961,0.66314,0.59214,0.60359,0.21198,0.56224,0.49455,0.45901,0.12145,2.25631,2.51235,1.57707,1.04111,0.001703,0.001703,0.001703
32,1649.57,1.86215,2.18527,0.92527,0.9442,0.7558,0.42898,0.50531,0.1953,0.72189,0.42083,0.48042,0.16327,2.60166,28.1406,2.27935,1.25548,0.0016931,0.0016931,0.0016931
33,1701.4,1.91508,2.256,0.95577,0.95955,0.76014,0.64215,0.71603,0.30531,0.77759,0.64431,0.72318,0.26877,1.96506,3.22396,1.21854,0.99848,0.0016832,0.0016832,0.0016832
34,1750.7,1.90102,2.26759,0.95511,0.94989,0.6117,0.61083,0.54325,0.17566,0.47655,0.5068,0.39312,0.11311,2.24785,2.69621,1.26906,1.03351,0.0016733,0.0016733,0.0016733
35,1801.71,1.88135,2.21468,0.92987,0.95523,0.79223,0.83662,0.8312,0.3558,0.71803,0.7574,0.73723,0.26932,1.79724,2.03143,0.98542,0.94196,0.0016634,0.0016634,0.0016634
36,1851.18,1.86068,2.21718,0.92805,0.95565,0.81564,0.86814,0.86769,0.42053,0.81078,0.85395,0.85012,0.3263,1.74931,1.95862,1.0075,0.93417,0.0016535,0.0016535,0.0016535
37,1905.3,1.89479,2.19389,0.94078,0.9591,0.78648,0.81277,0.79813,0.33514,0.73737,0.74996,0.71458,0.24328,1.88627,2.0172,0.94821,0.96293,0.0016436,0.0016436,0.0016436
38,1952.49,1.85185,2.21326,0.92411,0.95738,0.84663,0.86257,0.88021,0.3567,0.77201,0.77753,0.7621,0.22836,1.86648,2.01203,0.93336,0.94719,0.0016337,0.0016337,0.0016337
39,2003.69,1.8351,2.19877,0.92248,0.94822,0.70619,0.53029,0.62679,0.2032,0.56436,0.45994,0.48594,0.14264,2.30904,2.4879,1.43519,1.05661,0.0016238,0.0016238,0.0016238
40,2052.86,1.82655,2.18504,0.91056,0.95678,0.84411,0.83994,0.87233,0.40649,0.82716,0.81433,0.84882,0.33886,1.80249,1.95528,0.90578,0.9477,0.0016139,0.0016139,0.0016139
41,2103.22,1.82462,2.16737,0.9087,0.947,0.82134,0.78041,0.83057,0.40085,0.81247,0.76394,0.81775,0.31773,1.81909,2.07482,0.9436,0.95218,0.001604,0.001604,0.001604
42,2152.89,1.82111,2.16787,0.89879,0.933,0.82529,0.84027,0.85752,0.42478,0.80174,0.81017,0.82595,0.30399,1.74267,2.04846,0.87487,0.93354,0.0015941,0.0015941,0.0015941
43,2203.43,1.8157,2.169,0.90591,0.94229,0.82694,0.82211,0.85349,0.39554,0.80758,0.79599,0.82594,0.31046,1.78427,2.10035,0.8941,0.93599,0.0015842,0.0015842,0.0015842
44,2253.41,1.81621,2.1619,0.89253,0.93603,0.84244,0.84381,0.88054,0.38748,0.76868,0.76362,0.77384,0.25603,1.79892,2.01,0.91719,0.93324,0.0015743,0.0015743,0.0015743
