epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1367.17,1.89006,2.26781,0.96497,0.95682,0.79293,0.7811,0.78955,0.34084,0.77448,0.76293,0.77132,0.28344,1.89118,2.16066,1.01329,0.97631,0.001406,0.001406,0.001406
32,1410.91,1.8346,2.16403,0.90777,0.94002,0.82051,0.82575,0.83866,0.36717,0.77396,0.77201,0.77004,0.25956,1.86863,2.02686,0.95137,0.96096,0.0013862,0.0013862,0.0013862
33,1452.71,1.84639,2.20569,0.92998,0.94781,0.79414,0.78502,0.82077,0.40021,0.79122,0.78496,0.81726,0.32229,1.79024,1.97267,0.92589,0.94878,0.0013664,0.0013664,0.0013664
34,1496.4,1.85474,2.2188,0.92216,0.94188,0.85011,0.87149,0.89177,0.43823,0.8243,0.83778,0.85575,0.31891,1.73433,1.87241,0.86103,0.9309,0.0013466,0.0013466,0.0013466
35,1544.82,1.83097,2.17045,0.89383,0.94677,0.79688,0.83227,0.83772,0.39678,0.78975,0.82483,0.8401,0.30871,1.76604,1.96329,0.89671,0.94421,0.0013268,0.0013268,0.0013268
36,1586.42,1.83752,2.20792,0.91882,0.95044,0.81903,0.8309,0.83018,0.31619,0.72487,0.72078,0.66751,0.2141,1.92699,2.13367,1.05841,0.96382,0.001307,0.001307,0.001307
37,1630.55,1.88251,2.21386,0.94003,0.95661,0.72913,0.7349,0.69729,0.29386,0.69722,0.68766,0.64934,0.21191,1.94664,2.05821,1.03938,0.97818,0.0012872,0.0012872,0.0012872
38,1676.97,1.84439,2.19895,0.91102,0.95741,0.84462,0.84755,0.86941,0.41019,0.8166,0.819,0.83042,0.29409,1.8019,1.92738,0.89038,0.94283,0.0012674,0.0012674,0.0012674
39,1720.33,1.8206,2.16434,0.9065,0.94531,0.77728,0.77539,0.81304,0.38321,0.77234,0.76668,0.81232,0.34923,1.84815,2.06443,0.98512,0.95691,0.0012476,0.0012476,0.0012476
40,1763.17,1.81054,2.16458,0.89473,0.95348,0.82682,0.80412,0.84097,0.38975,0.80799,0.78491,0.82727,0.32701,1.80088,1.96974,0.91994,0.94772,0.0012278,0.0012278,0.0012278
41,1806.11,1.79384,2.1333,0.8799,0.9408,0.84024,0.8389,0.87073,0.40832,0.78249,0.76743,0.79028,0.2896,1.73018,1.87837,0.87527,0.93102,0.001208,0.001208,0.001208
42,1849.91,1.78341,2.11703,0.87116,0.92711,0.80545,0.83459,0.85292,0.3967,0.74886,0.75844,0.7684,0.26395,1.77338,1.9238,0.87574,0.93672,0.0011882,0.0011882,0.0011882
43,1893.89,1.79147,2.13085,0.8737,0.93801,0.83276,0.87333,0.88453,0.43305,0.82983,0.86659,0.86808,0.33723,1.69055,1.83284,0.82851,0.92008,0.0011684,0.0011684,0.0011684
44,1944.36,1.79437,2.12544,0.87476,0.93362,0.83435,0.83267,0.87062,0.39375,0.78642,0.7754,0.79562,0.27232,1.75678,1.91462,0.88291,0.93004,0.0011486,0.0011486,0.0011486
45,1988.98,1.81183,2.13822,0.8983,0.93975,0.83677,0.82644,0.86756,0.42499,0.81793,0.79911,0.83551,0.31949,1.68418,1.85851,0.86778,0.92177,0.0011288,0.0011288,0.0011288
46,2035.05,1.76492,2.08068,0.86013,0.93038,0.85325,0.88406,0.90825,0.44636,0.83428,0.86053,0.88356,0.38503,1.75736,1.93544,0.85585,0.93311,0.001109,0.001109,0.001109
47,2085.49,1.77069,2.10762,0.84365,0.93447,0.79852,0.83959,0.8525,0.41193,0.78327,0.78595,0.80442,0.2939,1.76946,1.93697,0.86799,0.93534,0.0010892,0.0010892,0.0010892
48,2128.24,1.74229,2.12846,0.84493,0.93211,0.84374,0.88013,0.88877,0.4426,0.82846,0.85915,0.86362,0.33687,1.75115,1.97411,0.85476,0.93758,0.0010694,0.0010694,0.0010694
49,2170.09,1.77101,2.09926,0.85385,0.93435,0.8619,0.86036,0.89304,0.44472,0.85798,0.85465,0.88617,0.3755,1.72617,1.93141,0.83687,0.92983,0.0010496,0.0010496,0.0010496
50,2218.13,1.76928,2.09883,0.86572,0.92687,0.86191,0.88562,0.91724,0.45097,0.82243,0.84426,0.8545,0.31871,1.6838,1.82578,0.8184,0.91944,0.0010298,0.0010298,0.0010298
51,2261.98,1.72376,2.07224,0.84226,0.9221,0.87038,0.89168,0.91446,0.46225,0.84928,0.86976,0.8837,0.34836,1.65868,1.82156,0.82026,0.91614,0.00101,0.00101,0.00101
52,2307.68,1.7205,2.03333,0.84015,0.93693,0.83842,0.89068,0.89067,0.45032,0.81443,0.8536,0.8516,0.32426,1.69318,1.84713,0.85015,0.92273,0.0009902,0.0009902,0.0009902
53,2351.72,1.72912,2.08158,0.83879,0.92743,0.84818,0.8691,0.89717,0.43086,0.81389,0.82402,0.83997,0.30431,1.71231,1.89151,0.87584,0.92578,0.0009704,0.0009704,0.0009704
54,2395.12,1.72467,2.10079,0.83183,0.92796,0.86999,0.89165,0.92213,0.45352,0.84825,0.86859,0.88472,0.34219,1.66294,1.79976,0.7913,0.91445,0.0009506,0.0009506,0.0009506
55,2440.66,1.69002,2.01741,0.82692,0.91728,0.87411,0.89515,0.92466,0.48226,0.84861,0.86815,0.89035,0.36383,1.62111,1.80335,0.77322,0.91175,0.0009308,0.0009308,0.0009308
56,2492.23,1.73155,2.04694,0.83137,0.92967,0.87011,0.89289,0.92112,0.46572,0.83513,0.85741,0.86929,0.32589,1.65886,1.82756,0.78254,0.91669,0.000911,0.000911,0.000911
57,2537.72,1.7202,2.06501,0.82445,0.92022,0.83581,0.87731,0.89223,0.4436,0.80095,0.81673,0.82996,0.30274,1.69204,1.83376,0.81003,0.92093,0.0008912,0.0008912,0.0008912
58,2580.81,1.64999,1.97134,0.80784,0.92412,0.87645,0.88385,0.92371,0.45825,0.8507,0.85678,0.88462,0.36857,1.68318,1.88,0.81632,0.9213,0.0008714,0.0008714,0.0008714
59,2623.47,1.71041,2.03329,0.80812,0.92544,0.8276,0.82661,0.85378,0.3896,0.76754,0.76605,0.77065,0.26611,1.7813,1.97981,0.84473,0.93982,0.0008516,0.0008516,0.0008516
60,2666.96,1.7333,2.02538,0.81041,0.93254,0.86655,0.86122,0.89947,0.43171,0.824,0.81467,0.84408,0.30156,1.73487,1.86323,0.79671,0.9303,0.0008318,0.0008318,0.0008318
61,2710.72,1.71547,2.05255,0.82615,0.91785,0.85979,0.89185,0.91319,0.47807,0.84113,0.87022,0.88707,0.36944,1.63545,1.82364,0.78289,0.91086,0.000812,0.000812,0.000812
62,2753.55,1.66834,1.98986,0.80579,0.90893,0.87304,0.89601,0.92662,0.47276,0.84727,0.8607,0.8829,0.33532,1.65329,1.77246,0.77373,0.91214,0.0007922,0.0007922,0.0007922
63,2797.91,1.67845,1.94931,0.78388,0.919,0.86517,0.87333,0.91327,0.45684,0.85747,0.86122,0.89108,0.35551,1.66953,1.86236,0.77652,0.91812,0.0007724,0.0007724,0.0007724
64,2840.87,1.68097,1.97802,0.78835,0.92329,0.87212,0.89323,0.92119,0.44495,0.83442,0.85284,0.86561,0.33318,1.69564,1.82705,0.82311,0.92102,0.0007526,0.0007526,0.0007526
65,2884.3,1.6884,2.01298,0.79855,0.91624,0.86913,0.89721,0.92519,0.47354,0.84818,0.86157,0.88576,0.34683,1.63899,1.81918,0.77621,0.9123,0.0007328,0.0007328,0.0007328
66,2926.51,1.65629,1.97024,0.78437,0.91738,0.87076,0.86849,0.90952,0.46303,0.86563,0.85948,0.89748,0.3912,1.68775,1.85532,0.79679,0.92047,0.000713,0.000713,0.000713
67,2974.76,1.6881,2.02881,0.78438,0.92232,0.85471,0.86295,0.90355,0.43342,0.79086,0.77868,0.79757,0.26151,1.74523,1.85082,0.81937,0.92471,0.0006932,0.0006932,0.0006932
68,3017.8,1.68758,2.03012,0.78709,0.91861,0.88944,0.88943,0.9303,0.46321,0.8418,0.83596,0.86551,0.3287,1.64112,1.79507,0.77657,0.91483,0.0006734,0.0006734,0.0006734
69,3064.54,1.6313,1.94961,0.7722,0.91085,0.86748,0.86987,0.91407,0.47737,0.84347,0.84293,0.87688,0.34489,1.64929,1.83369,0.77771,0.91429,0.0006536,0.0006536,0.0006536
70,3109.74,1.67312,1.98115,0.77974,0.91434,0.88003,0.88943,0.92576,0.4685,0.8491,0.85188,0.87763,0.3447,1.67248,1.86159,0.77292,0.91551,0.0006338,0.0006338,0.0006338
71,3153.57,1.68094,1.9954,0.79505,0.91513,0.87777,0.91207,0.93794,0.49483,0.84761,0.8691,0.88951,0.35371,1.58393,1.73894,0.75041,0.90239,0.000614,0.000614,0.000614
72,3196.16,1.63161,1.95215,0.78094,0.91144,0.85958,0.89756,0.9236,0.45775,0.80644,0.82973,0.84292,0.30959,1.65311,1.83543,0.7782,0.91433,0.0005942,0.0005942,0.0005942
73,3239.17,1.60895,1.89675,0.75998,0.90546,0.88619,0.91331,0.94037,0.48709,0.8411,0.872,0.88494,0.35,1.6216,1.80763,0.75082,0.90733,0.0005744,0.0005744,0.0005744
74,3281.42,1.6203,1.93878,0.76085,0.90583,0.88134,0.90414,0.93111,0.47141,0.82976,0.84426,0.86738,0.33534,1.63924,1.82125,0.75941,0.91025,0.0005546,0.0005546,0.0005546
75,3325.53,1.62996,1.91141,0.76189,0.90862,0.85322,0.86884,0.88854,0.43195,0.80174,0.8145,0.81965,0.30923,1.67465,1.87466,0.78682,0.92277,0.0005348,0.0005348,0.0005348
76,3368.09,1.64121,1.96549,0.79149,0.91157,0.85633,0.86638,0.90021,0.4322,0.79626,0.79464,0.80739,0.28171,1.70377,1.87498,0.82973,0.92146,0.000515,0.000515,0.000515
77,3413.18,1.64173,1.97754,0.77996,0.91534,0.86716,0.89349,0.91424,0.46624,0.82218,0.84171,0.85125,0.32049,1.63842,1.8055,0.77286,0.91214,0.0004952,0.0004952,0.0004952
78,3460.99,1.60182,1.91696,0.76252,0.89965,0.8575,0.85486,0.89208,0.4106,0.79013,0.77211,0.79298,0.28182,1.72094,1.87206,0.83591,0.92298,0.0004754,0.0004754,0.0004754
79,3505.28,1.60919,1.91724,0.7543,0.9085,0.88393,0.90397,0.93384,0.46331,0.85141,0.85915,0.88207,0.33359,1.63418,1.82775,0.7574,0.91235,0.0004556,0.0004556,0.0004556
80,3547.19,1.61889,1.93571,0.75505,0.90762,0.87536,0.90569,0.93295,0.4857,0.84701,0.85936,0.88548,0.3582,1.63085,1.78374,0.74786,0.91201,0.0004358,0.0004358,0.0004358
81,3590.26,1.61904,1.92798,0.75074,0.90627,0.88732,0.88562,0.92844,0.49181,0.85542,0.84599,0.88212,0.358,1.60765,1.78017,0.74578,0.90793,0.000416,0.000416,0.000416
82,3632.67,1.63427,1.94334,0.75444,0.91016,0.85911,0.85153,0.89224,0.46624,0.83426,0.82483,0.85739,0.32383,1.64295,1.79509,0.77737,0.91337,0.0003962,0.0003962,0.0003962
83,3677.26,1.59713,1.90159,0.73909,0.90073,0.87241,0.88737,0.919,0.48596,0.83739,0.84119,0.86711,0.32769,1.59611,1.74372,0.75479,0.90421,0.0003764,0.0003764,0.0003764
84,3719.85,1.59695,1.8919,0.75298,0.91288,0.88296,0.90933,0.93832,0.50068,0.85994,0.88683,0.90877,0.37823,1.58042,1.73646,0.72992,0.90253,0.0003566,0.0003566,0.0003566
85,3769.95,1.58627,1.87832,0.73404,0.89621,0.86832,0.8896,0.91783,0.46937,0.81108,0.81498,0.82507,0.2985,1.65533,1.8025,0.75261,0.91492,0.0003368,0.0003368,0.0003368
86,3812.62,1.60092,1.90021,0.73903,0.90213,0.88003,0.91643,0.94274,0.49969,0.84453,0.87887,0.89758,0.35753,1.62337,1.77536,0.73625,0.90747,0.000317,0.000317,0.000317
87,3854.83,1.58673,1.86324,0.73507,0.90391,0.87958,0.91378,0.94074,0.50206,0.84288,0.87074,0.88979,0.3463,1.58596,1.74719,0.72966,0.9013,0.0002972,0.0002972,0.0002972
88,3897.37,1.58062,1.87603,0.7305,0.90297,0.88673,0.90893,0.94362,0.48178,0.85503,0.8716,0.89586,0.35747,1.58089,1.75475,0.7357,0.90161,0.0002774,0.0002774,0.0002774
89,3939.36,1.60002,1.87584,0.73791,0.90556,0.88778,0.90292,0.9393,0.48946,0.86898,0.87106,0.90337,0.35267,1.58113,1.73582,0.72639,0.90173,0.0002576,0.0002576,0.0002576
90,3982.99,1.58541,1.87193,0.72915,0.90625,0.88964,0.90952,0.94118,0.50152,0.86006,0.86673,0.89234,0.34323,1.59723,1.72286,0.72386,0.90207,0.0002378,0.0002378,0.0002378
91,4024.9,1.56637,1.84033,0.74211,0.91837,0.88641,0.90569,0.93842,0.4867,0.86851,0.88164,0.90839,0.38521,1.63339,1.77552,0.7492,0.91021,0.000218,0.000218,0.000218
92,4050.87,1.56131,1.84537,0.73727,0.92314,0.88866,0.91019,0.9416,0.50096,0.86758,0.8832,0.90612,0.37759,1.58619,1.73092,0.72203,0.90213,0.0001982,0.0001982,0.0001982
93,4082.94,1.5373,1.83067,0.71988,0.9172,0.88133,0.92017,0.94531,0.50085,0.8434,0.87699,0.8885,0.34474,1.57552,1.73001,0.74339,0.89878,0.0001784,0.0001784,0.0001784
94,4113.2,1.53203,1.8065,0.71417,0.90884,0.89015,0.91815,0.94899,0.50927,0.86064,0.88696,0.90691,0.37203,1.55242,1.71078,0.72213,0.89447,0.0001586,0.0001586,0.0001586
95,4141.1,1.53818,1.83136,0.71715,0.91161,0.88934,0.91832,0.94913,0.50473,0.86076,0.88164,0.90559,0.35936,1.57201,1.72754,0.71637,0.89738,0.0001388,0.0001388,0.0001388
96,4166.73,1.52115,1.80271,0.70919,0.91393,0.89272,0.91147,0.94754,0.49148,0.85029,0.86711,0.88563,0.33211,1.5805,1.75047,0.72478,0.89951,0.000119,0.000119,0.000119
97,4198.55,1.51648,1.79086,0.69552,0.90727,0.8837,0.91504,0.94525,0.49554,0.85049,0.87509,0.89463,0.34554,1.5711,1.73437,0.7223,0.8989,9.92e-05,9.92e-05,9.92e-05
98,4223.89,1.51318,1.7875,0.70329,0.90857,0.88646,0.91463,0.94653,0.50492,0.86556,0.87368,0.90384,0.36225,1.56999,1.72771,0.72008,0.89816,7.94e-05,7.94e-05,7.94e-05
99,4251.91,1.52127,1.80258,0.70817,0.91466,0.88588,0.91521,0.94637,0.50706,0.86155,0.86918,0.90027,0.35862,1.57184,1.72808,0.71854,0.89824,5.96e-05,5.96e-05,5.96e-05
100,4284.23,1.50477,1.79596,0.70701,0.91081,0.88791,0.91565,0.94715,0.50933,0.85574,0.87762,0.90018,0.35677,1.56836,1.72659,0.71639,0.89701,3.98e-05,3.98e-05,3.98e-05
