epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1610.91,1.85652,2.41957,0.89658,0.9769,0.78462,0.73055,0.76122,0.29199,0.67661,0.62727,0.5933,0.16592,2.16943,2.32492,1.12496,1.02064,0.001406,0.001406,0.001406
32,1663.45,1.8767,2.40353,0.90257,0.97856,0.84029,0.75398,0.81135,0.41596,0.82556,0.73367,0.78357,0.33616,1.71183,2.08665,0.91483,0.95426,0.0013862,0.0013862,0.0013862
33,1719.89,1.81503,2.34907,0.8913,0.97244,0.85353,0.78409,0.82999,0.42962,0.82844,0.76105,0.7956,0.32615,1.71272,2.00206,0.86354,0.94846,0.0013664,0.0013664,0.0013664
34,1773.13,1.82494,2.35155,0.89165,0.96354,0.83452,0.79536,0.82527,0.42,0.81405,0.76999,0.79083,0.3162,1.70901,1.97673,0.86639,0.94821,0.0013466,0.0013466,0.0013466
35,1824.22,1.79855,2.32524,0.86941,0.96306,0.80524,0.77941,0.79735,0.38209,0.76453,0.72857,0.72877,0.25036,1.90867,2.1652,0.90381,0.97703,0.0013268,0.0013268,0.0013268
36,1874.2,1.83926,2.36415,0.88277,0.97262,0.84364,0.80957,0.8372,0.43271,0.82446,0.7808,0.80723,0.31374,1.69378,1.99132,0.84774,0.94409,0.001307,0.001307,0.001307
37,1923.72,1.79126,2.33459,0.87725,0.96566,0.84089,0.83429,0.84704,0.44265,0.82306,0.80926,0.82027,0.34308,1.67121,1.96783,0.84946,0.93984,0.0012872,0.0012872,0.0012872
38,1979.94,1.79555,2.3134,0.86492,0.97081,0.80638,0.81548,0.82055,0.3949,0.76136,0.76087,0.74727,0.27127,1.81022,2.01501,0.87713,0.96282,0.0012674,0.0012674,0.0012674
39,2031.72,1.78358,2.28798,0.85557,0.96299,0.41931,0.38312,0.30929,0.13184,0.38626,0.33772,0.26327,0.08436,2.5674,2.8572,2.41669,1.13243,0.0012476,0.0012476,0.0012476
40,2081.04,1.80089,2.33214,0.86586,0.97337,0.76139,0.73523,0.72308,0.20669,0.56819,0.53879,0.43495,0.09012,2.58947,2.68142,1.29239,1.10992,0.0012278,0.0012278,0.0012278
41,2132.3,1.80029,2.33269,0.85645,0.96862,0.83716,0.77837,0.81921,0.40873,0.80985,0.75129,0.77745,0.29476,1.70722,2.08334,0.89503,0.95121,0.001208,0.001208,0.001208
42,2182.25,1.82422,2.38817,0.87589,0.95817,0.82082,0.71946,0.77553,0.2849,0.69489,0.60457,0.59395,0.16577,2.1539,2.32236,1.08751,1.02095,0.0011882,0.0011882,0.0011882
43,2233.35,1.76871,2.29036,0.84551,0.95513,0.84304,0.7983,0.83754,0.41497,0.80814,0.76365,0.78877,0.31632,1.76285,2.00961,0.86227,0.95403,0.0011684,0.0011684,0.0011684
44,2284.06,1.79246,2.30331,0.85579,0.95451,0.85045,0.81858,0.84619,0.44678,0.83282,0.79586,0.81503,0.33854,1.68519,1.95637,0.80965,0.94226,0.0011486,0.0011486,0.0011486
45,2335,1.76063,2.29511,0.84414,0.9568,0.85774,0.81808,0.85032,0.44852,0.84347,0.80021,0.82979,0.36357,1.63314,1.91326,0.80966,0.93714,0.0011288,0.0011288,0.0011288
46,2388.49,1.77684,2.28295,0.84612,0.96377,0.83378,0.82897,0.8446,0.44186,0.80596,0.79314,0.80241,0.32201,1.6617,1.91795,0.83194,0.93683,0.001109,0.001109,0.001109
47,2439.9,1.74223,2.23854,0.8329,0.95303,0.84749,0.81559,0.83765,0.42659,0.82299,0.79678,0.80973,0.34305,1.68457,1.9599,0.83539,0.94544,0.0010892,0.0010892,0.0010892
48,2490.84,1.77515,2.27639,0.84215,0.96387,0.84038,0.81198,0.83786,0.43197,0.82388,0.79484,0.81313,0.34505,1.70702,1.98063,0.83873,0.94686,0.0010694,0.0010694,0.0010694
49,2542.03,1.78719,2.30249,0.85111,0.96255,0.83042,0.80951,0.83864,0.44035,0.81269,0.78583,0.8109,0.32414,1.66969,1.97181,0.83591,0.9398,0.0010496,0.0010496,0.0010496
50,2595.66,1.74254,2.26322,0.84287,0.94948,0.85014,0.79553,0.83643,0.40797,0.80175,0.74718,0.77015,0.29006,1.78091,2.05857,0.90465,0.95474,0.0010298,0.0010298,0.0010298
51,2647.18,1.7926,2.32022,0.85522,0.95815,0.84378,0.81423,0.84124,0.42153,0.82193,0.78542,0.80387,0.32924,1.71235,1.98837,0.88664,0.94694,0.00101,0.00101,0.00101
52,2699.12,1.80318,2.31016,0.86156,0.98084,0.81149,0.80711,0.81874,0.3976,0.77542,0.76284,0.76175,0.27036,1.8601,2.04491,0.99377,0.96673,0.0009902,0.0009902,0.0009902
53,2751.76,1.77685,2.2907,0.84794,0.95237,0.846,0.81675,0.84423,0.43309,0.82915,0.7905,0.81416,0.32349,1.71654,1.96354,0.83701,0.9453,0.0009704,0.0009704,0.0009704
54,2801.15,1.75544,2.26154,0.83903,0.95636,0.84086,0.82216,0.84536,0.43315,0.80966,0.78723,0.80028,0.30447,1.72567,1.92943,0.84226,0.94518,0.0009506,0.0009506,0.0009506
55,2852.68,1.74016,2.25815,0.83892,0.94929,0.77152,0.78028,0.78375,0.39193,0.74584,0.74476,0.73655,0.27766,1.77363,2.04987,0.90022,0.95325,0.0009308,0.0009308,0.0009308
56,2903.54,1.74206,2.21101,0.80976,0.96137,0.8476,0.83712,0.85732,0.45271,0.83335,0.81281,0.83059,0.338,1.65275,1.92976,0.80312,0.93406,0.000911,0.000911,0.000911
57,2954.26,1.72038,2.2272,0.81648,0.94482,0.83198,0.81563,0.83634,0.44102,0.80921,0.78418,0.79994,0.3143,1.69781,1.92172,0.8197,0.94028,0.0008912,0.0008912,0.0008912
58,3006.09,1.72024,2.21853,0.81375,0.96435,0.85853,0.81598,0.84561,0.438,0.84371,0.79696,0.82239,0.3516,1.66209,1.9237,0.85002,0.94036,0.0008714,0.0008714,0.0008714
59,3055.45,1.74266,2.25241,0.82429,0.95699,0.85059,0.78097,0.82202,0.39376,0.81348,0.74181,0.76452,0.28251,1.74683,2.06317,0.9137,0.95657,0.0008516,0.0008516,0.0008516
60,3107.18,1.69121,2.21619,0.80404,0.94563,0.68797,0.62312,0.6348,0.26687,0.62444,0.56195,0.54803,0.17157,2.16753,2.41697,1.02617,1.02083,0.0008318,0.0008318,0.0008318
61,3157.42,1.72395,2.26098,0.80904,0.94616,0.85884,0.82516,0.85839,0.43381,0.8251,0.7905,0.81004,0.31879,1.71324,1.9742,0.81607,0.94505,0.000812,0.000812,0.000812
62,3211.75,1.71856,2.22059,0.79865,0.94613,0.86086,0.80942,0.85224,0.44615,0.85097,0.77871,0.82203,0.33311,1.66299,1.92498,0.83863,0.93763,0.0007922,0.0007922,0.0007922
63,3263.29,1.70831,2.19777,0.80807,0.94945,0.83435,0.79336,0.83386,0.43938,0.8197,0.77404,0.80418,0.33091,1.69465,1.99525,0.83444,0.94055,0.0007724,0.0007724,0.0007724
64,3314.55,1.71281,2.17944,0.79578,0.95019,0.86463,0.82123,0.85344,0.44822,0.8469,0.79848,0.82621,0.34601,1.66083,1.93501,0.8181,0.93831,0.0007526,0.0007526,0.0007526
65,3365.6,1.74884,2.23039,0.81539,0.94957,0.85883,0.8314,0.85821,0.44862,0.83765,0.80016,0.82257,0.33657,1.70718,1.95431,0.82095,0.94425,0.0007328,0.0007328,0.0007328
66,3418.7,1.71747,2.22429,0.80807,0.95317,0.82787,0.77006,0.79969,0.27499,0.68293,0.63265,0.58422,0.15822,2.2177,2.45582,1.04731,1.0359,0.000713,0.000713,0.000713
67,3468.52,1.69667,2.20396,0.80557,0.94534,0.8284,0.82729,0.84059,0.40416,0.7736,0.76226,0.75346,0.26714,1.79331,1.99591,0.85188,0.95371,0.0006932,0.0006932,0.0006932
68,3523.06,1.72049,2.21761,0.8033,0.93938,0.84157,0.82291,0.84537,0.45438,0.82734,0.80402,0.81928,0.34179,1.65455,1.89075,0.7832,0.93463,0.0006734,0.0006734,0.0006734
69,3572.48,1.68323,2.157,0.77297,0.9434,0.82972,0.81565,0.83598,0.4346,0.80594,0.78083,0.79203,0.29678,1.73385,1.91181,0.8098,0.94446,0.0006536,0.0006536,0.0006536
70,3624.5,1.73194,2.23285,0.8138,0.94651,0.85929,0.8262,0.85854,0.46001,0.84747,0.80818,0.83462,0.35728,1.64386,1.86886,0.7904,0.93283,0.0006338,0.0006338,0.0006338
71,3680.4,1.72373,2.21626,0.81276,0.94886,0.84231,0.8314,0.85745,0.4596,0.82216,0.80347,0.82299,0.33653,1.63221,1.89616,0.82795,0.93169,0.000614,0.000614,0.000614
72,3731.63,1.66419,2.13579,0.77626,0.94133,0.85988,0.84942,0.86835,0.47103,0.85024,0.81557,0.84078,0.34467,1.61392,1.85744,0.76385,0.92712,0.0005942,0.0005942,0.0005942
73,3785.11,1.67732,2.1465,0.77125,0.94169,0.86886,0.83764,0.86773,0.46761,0.85666,0.81788,0.84425,0.37122,1.60686,1.86377,0.77778,0.92715,0.0005744,0.0005744,0.0005744
74,3839.57,1.65889,2.14656,0.77014,0.93537,0.85882,0.84117,0.86763,0.46441,0.83693,0.8158,0.83425,0.34409,1.6389,1.89054,0.77988,0.93247,0.0005546,0.0005546,0.0005546
75,3889.83,1.67194,2.153,0.77478,0.94626,0.84533,0.83814,0.85897,0.4611,0.82507,0.81546,0.83067,0.34121,1.67471,1.87829,0.78397,0.93595,0.0005348,0.0005348,0.0005348
76,3942.42,1.69954,2.1859,0.78001,0.9412,0.81433,0.81754,0.8357,0.44188,0.79262,0.78894,0.79649,0.31274,1.69195,1.97477,0.8166,0.94024,0.000515,0.000515,0.000515
77,3993.18,1.70232,2.19504,0.79571,0.94645,0.79439,0.81182,0.82031,0.43077,0.77612,0.78211,0.78093,0.29755,1.70346,1.96753,0.84928,0.94031,0.0004952,0.0004952,0.0004952
78,4043.53,1.66728,2.15644,0.77719,0.93251,0.86237,0.83954,0.86672,0.46897,0.84279,0.82048,0.84303,0.35381,1.60653,1.86503,0.76475,0.92665,0.0004754,0.0004754,0.0004754
79,4096.42,1.67497,2.13682,0.76827,0.93801,0.85874,0.83868,0.86426,0.46044,0.83689,0.81303,0.83144,0.33279,1.65827,1.88221,0.77139,0.93333,0.0004556,0.0004556,0.0004556
80,4146.36,1.6608,2.11805,0.76747,0.93739,0.87169,0.8489,0.87274,0.4691,0.84876,0.81927,0.83725,0.34065,1.63572,1.87867,0.76432,0.92931,0.0004358,0.0004358,0.0004358
81,4195.78,1.64438,2.10147,0.75464,0.93485,0.85494,0.84283,0.85969,0.46772,0.83854,0.82341,0.83366,0.34355,1.61692,1.85346,0.77886,0.927,0.000416,0.000416,0.000416
82,4247.29,1.65684,2.1133,0.76677,0.93778,0.84547,0.8411,0.85421,0.46153,0.83134,0.82339,0.82984,0.34748,1.64186,1.87312,0.778,0.92997,0.0003962,0.0003962,0.0003962
83,4296.69,1.68224,2.12429,0.76832,0.93533,0.87021,0.83556,0.86586,0.47326,0.85578,0.81598,0.84167,0.35955,1.59892,1.86222,0.77104,0.92451,0.0003764,0.0003764,0.0003764
84,4348.04,1.65457,2.12988,0.76382,0.9432,0.86179,0.8503,0.86847,0.47377,0.84499,0.82743,0.84093,0.34588,1.61516,1.84538,0.75028,0.92663,0.0003566,0.0003566,0.0003566
85,4401.42,1.67149,2.1217,0.76073,0.93689,0.86253,0.84588,0.86851,0.47098,0.84154,0.82152,0.83591,0.33451,1.63059,1.84183,0.74876,0.92848,0.0003368,0.0003368,0.0003368
86,4450.33,1.64563,2.113,0.76676,0.93137,0.86749,0.83943,0.86576,0.46904,0.84226,0.81303,0.83125,0.33564,1.62532,1.86791,0.75934,0.92814,0.000317,0.000317,0.000317
87,4500.4,1.64888,2.12334,0.76385,0.93849,0.86573,0.83105,0.8633,0.46405,0.84408,0.80296,0.82822,0.32876,1.65827,1.85902,0.7618,0.93387,0.0002972,0.0002972,0.0002972
88,4550.71,1.65149,2.1259,0.76644,0.93731,0.87189,0.84437,0.87185,0.48054,0.85768,0.82288,0.84721,0.36006,1.58194,1.82763,0.74992,0.92337,0.0002774,0.0002774,0.0002774
89,4606.95,1.6561,2.13867,0.76566,0.94382,0.8675,0.84734,0.87166,0.47528,0.8466,0.82152,0.83652,0.34088,1.62598,1.83932,0.74814,0.92865,0.0002576,0.0002576,0.0002576
90,4657.41,1.6688,2.11417,0.76008,0.94469,0.8707,0.85444,0.87321,0.48126,0.85956,0.83521,0.85321,0.38135,1.58034,1.81509,0.74506,0.9233,0.0002378,0.0002378,0.0002378
91,4707.32,1.62359,2.07181,0.77972,0.9511,0.86615,0.84873,0.87032,0.47746,0.85886,0.83123,0.8519,0.39007,1.5752,1.82109,0.75805,0.92274,0.000218,0.000218,0.000218
92,4741.8,1.62481,2.07904,0.76387,0.95428,0.87309,0.84058,0.86921,0.47908,0.85783,0.82499,0.8469,0.37409,1.57384,1.82156,0.77021,0.92224,0.0001982,0.0001982,0.0001982
93,4773.63,1.61872,2.07346,0.7569,0.95807,0.86545,0.85098,0.86997,0.47815,0.85272,0.82776,0.84423,0.36156,1.58457,1.82668,0.75779,0.92322,0.0001784,0.0001784,0.0001784
94,4803.92,1.62687,2.09814,0.7553,0.94957,0.83808,0.84422,0.85452,0.46043,0.81875,0.82117,0.82346,0.33413,1.64405,1.86087,0.78238,0.9302,0.0001586,0.0001586,0.0001586
95,4834.94,1.63109,2.08029,0.75754,0.95228,0.79206,0.81667,0.81963,0.43032,0.77252,0.79276,0.78362,0.30597,1.7164,1.94772,0.83178,0.94104,0.0001388,0.0001388,0.0001388
96,4864.85,1.62216,2.07727,0.74918,0.95783,0.85393,0.84688,0.86488,0.47119,0.83621,0.82629,0.83948,0.35016,1.61374,1.84099,0.76329,0.92569,0.000119,0.000119,0.000119
97,4895.33,1.62882,2.07068,0.753,0.94793,0.85808,0.85167,0.87002,0.47726,0.84563,0.83434,0.84761,0.36346,1.60289,1.82243,0.74697,0.92484,9.92e-05,9.92e-05,9.92e-05
98,4927.51,1.64688,2.08989,0.75593,0.95592,0.86808,0.84873,0.87128,0.47958,0.85892,0.83339,0.85524,0.38522,1.57843,1.81524,0.74481,0.92283,7.94e-05,7.94e-05,7.94e-05
99,4958.24,1.61195,2.06922,0.74144,0.96002,0.86856,0.84751,0.8727,0.47887,0.85398,0.83096,0.85001,0.3703,1.59201,1.82142,0.74415,0.92434,5.96e-05,5.96e-05,5.96e-05
100,4988.95,1.60382,2.04881,0.74058,0.94944,0.86579,0.84394,0.86919,0.47426,0.84931,0.82412,0.84234,0.35586,1.61094,1.83187,0.74857,0.92609,3.98e-05,3.98e-05,3.98e-05
