epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1577.35,1.89873,2.46539,0.9339,0.98913,0.78154,0.72795,0.76353,0.36423,0.75485,0.69052,0.71829,0.27966,1.85746,2.15111,0.98168,0.97216,0.0017624,0.0017624,0.0017624
32,1626.94,1.87743,2.4101,0.93643,0.97767,0.8133,0.71911,0.77963,0.38218,0.78304,0.68917,0.73937,0.29621,1.78533,2.10426,0.98499,0.95962,0.00175448,0.00175448,0.00175448
33,1677.4,1.80735,2.35016,0.89665,0.97174,0.82476,0.79681,0.82417,0.41578,0.81618,0.78496,0.80856,0.36062,1.67411,2.00978,0.89574,0.94205,0.00174656,0.00174656,0.00174656
34,1732.54,1.85897,2.42182,0.91452,0.97029,0.81981,0.77104,0.80747,0.41278,0.80176,0.74614,0.77775,0.30905,1.70523,2.01181,0.90725,0.94728,0.00173864,0.00173864,0.00173864
35,1782,1.80701,2.35561,0.89224,0.96581,0.83953,0.8014,0.83243,0.4211,0.8049,0.76778,0.78428,0.29051,1.77796,2.03577,0.87909,0.95528,0.00173072,0.00173072,0.00173072
36,1832.92,1.85106,2.38439,0.90187,0.97522,0.77247,0.70655,0.72837,0.19736,0.54955,0.50286,0.42629,0.09146,2.61846,2.80456,1.17904,1.11632,0.0017228,0.0017228,0.0017228
37,1882.24,1.84423,2.37396,0.90645,0.97602,0.85082,0.78045,0.83176,0.43311,0.83642,0.76197,0.80915,0.34373,1.66213,2.00427,0.88785,0.93908,0.00171488,0.00171488,0.00171488
38,1935.67,1.83663,2.36042,0.90731,0.97517,0.84057,0.79813,0.83139,0.43324,0.82558,0.78271,0.80841,0.33236,1.68909,1.96481,0.8655,0.94469,0.00170696,0.00170696,0.00170696
39,1988.84,1.80198,2.31664,0.86615,0.96576,0.81086,0.77612,0.80344,0.40883,0.7935,0.75174,0.7762,0.31647,1.74539,2.04266,0.92918,0.95398,0.00169904,0.00169904,0.00169904
40,2039.64,1.80213,2.34472,0.87514,0.97426,0.82339,0.79981,0.82436,0.41037,0.81243,0.77981,0.80097,0.34174,1.73585,2.04887,1.15745,0.95223,0.00169112,0.00169112,0.00169112
41,2091.24,1.81642,2.35133,0.86382,0.97059,0.80836,0.81112,0.82078,0.42587,0.79297,0.79345,0.79317,0.32795,1.65707,1.98637,0.93577,0.93713,0.0016832,0.0016832,0.0016832
42,2141.73,1.84695,2.39377,0.88383,0.96021,0.77893,0.76502,0.76875,0.32832,0.72098,0.70144,0.67001,0.21071,1.99542,2.1649,0.9923,0.98951,0.00167528,0.00167528,0.00167528
43,2193.78,1.79453,2.32004,0.86105,0.95944,0.74897,0.75481,0.76319,0.37168,0.71956,0.71626,0.70886,0.27558,1.80659,2.18003,0.99349,0.96142,0.00166736,0.00166736,0.00166736
44,2244.56,1.84715,2.37015,0.88457,0.96283,0.83699,0.75538,0.80748,0.40013,0.83367,0.75117,0.80041,0.37398,1.74783,2.01585,0.9003,0.95808,0.00165944,0.00165944,0.00165944
45,2294.79,1.81636,2.36401,0.88353,0.96681,0.74634,0.71478,0.73051,0.37043,0.73254,0.67649,0.68966,0.26668,1.79771,2.16425,1.04074,0.96442,0.00165152,0.00165152,0.00165152
46,2346.93,1.80651,2.33051,0.87334,0.96869,0.79529,0.68134,0.73824,0.37963,0.77543,0.66124,0.70599,0.2782,1.78608,2.19005,1.07873,0.96331,0.0016436,0.0016436,0.0016436
47,2396.82,1.77216,2.29261,0.85575,0.95759,0.82094,0.79441,0.82318,0.42913,0.81486,0.77794,0.80245,0.3558,1.65793,1.95858,0.85791,0.94044,0.00163568,0.00163568,0.00163568
48,2452.66,1.82228,2.33402,0.87427,0.97377,0.82948,0.80832,0.83108,0.41281,0.81009,0.78943,0.80164,0.32602,1.7982,2.02874,0.87041,0.95596,0.00162776,0.00162776,0.00162776
49,2503.71,1.82931,2.37009,0.90332,0.97111,0.75806,0.75914,0.75881,0.345,0.70913,0.68723,0.67178,0.22302,1.97223,2.17848,0.9772,0.98572,0.00161984,0.00161984,0.00161984
50,2553.79,1.80284,2.32296,0.88825,0.95819,0.62161,0.572,0.58412,0.2957,0.60244,0.54381,0.54843,0.2114,1.89432,2.32757,2.3899,0.98601,0.00161192,0.00161192,0.00161192
51,2603.46,1.81532,2.34482,0.87995,0.96355,0.80674,0.75516,0.79579,0.4028,0.79045,0.73731,0.77047,0.31394,1.71674,2.07189,0.97309,0.94927,0.001604,0.001604,0.001604
52,2652.69,1.8307,2.34273,0.8842,0.98519,0.68179,0.66072,0.65089,0.3102,0.65969,0.6204,0.59812,0.21003,1.97155,2.271,1.2154,0.9955,0.00159608,0.00159608,0.00159608
53,2703.42,1.79164,2.31149,0.87206,0.95471,0.75385,0.74826,0.73806,0.36441,0.73914,0.71733,0.70319,0.27112,1.85076,2.13356,1.03413,0.97483,0.00158816,0.00158816,0.00158816
54,2754.29,1.78749,2.31003,0.8637,0.96222,0.71664,0.70456,0.66866,0.22057,0.58588,0.56335,0.46485,0.10972,2.43999,2.5277,1.25043,1.0679,0.00158024,0.00158024,0.00158024
55,2803.99,1.78935,2.32662,0.86404,0.9586,0.72239,0.65067,0.68204,0.26557,0.63922,0.57113,0.54889,0.16249,2.11546,2.38496,1.10021,1.01793,0.00157232,0.00157232,0.00157232
56,2852.67,1.78228,2.27529,0.84479,0.96831,0.82516,0.77607,0.8136,0.36527,0.77205,0.71599,0.72113,0.241,1.85472,2.1671,0.93632,0.96799,0.0015644,0.0015644,0.0015644
57,2903.21,1.74948,2.28728,0.85871,0.94823,0.84629,0.78045,0.81864,0.43493,0.83682,0.76954,0.80422,0.35447,1.65143,1.95654,0.90163,0.94082,0.00155648,0.00155648,0.00155648
58,2957.6,1.7585,2.28912,0.84199,0.97401,0.84167,0.79677,0.82384,0.39748,0.80289,0.75048,0.75675,0.28299,1.80623,2.09288,0.90065,0.96744,0.00154856,0.00154856,0.00154856
59,3006.85,1.77664,2.30608,0.86007,0.96045,0.82,0.786,0.80708,0.41152,0.78819,0.75637,0.76117,0.27962,1.72339,1.99606,0.89949,0.94508,0.00154064,0.00154064,0.00154064
60,3058.08,1.72252,2.2402,0.83058,0.95118,0.81327,0.80766,0.81783,0.40011,0.77212,0.76018,0.75317,0.26484,1.818,1.95481,0.88138,0.95751,0.00153272,0.00153272,0.00153272
61,3108.28,1.77948,2.31138,0.84405,0.95839,0.79891,0.81979,0.82802,0.43763,0.79319,0.78739,0.79951,0.34231,1.65407,1.97088,0.87916,0.93451,0.0015248,0.0015248,0.0015248
62,3158.36,1.76294,2.27589,0.83647,0.95158,0.80645,0.79274,0.81517,0.41278,0.77692,0.75723,0.76683,0.2841,1.75384,1.99099,0.96518,0.94605,0.00151688,0.00151688,0.00151688
63,3207.02,1.72332,2.2239,0.84457,0.95132,0.84512,0.82354,0.84777,0.45165,0.83236,0.79929,0.82224,0.34085,1.64859,1.93236,0.83303,0.93637,0.00150896,0.00150896,0.00150896
64,3261.81,1.73792,2.22941,0.82142,0.95793,0.80672,0.77821,0.79328,0.31287,0.71967,0.67805,0.64785,0.19744,2.1006,2.3394,0.98498,1.01226,0.00150104,0.00150104,0.00150104
65,3310.82,1.78583,2.30207,0.84556,0.95617,0.75306,0.69646,0.71529,0.34497,0.73065,0.66574,0.67568,0.24026,1.96528,2.27182,0.96982,0.98974,0.00149312,0.00149312,0.00149312
66,3360.23,1.75255,2.28293,0.84283,0.95902,0.86137,0.78583,0.83984,0.43484,0.84908,0.76573,0.81483,0.34956,1.692,1.99264,0.85914,0.94035,0.0014852,0.0014852,0.0014852
67,3408.17,1.80621,2.33287,0.86706,0.96156,0.82679,0.82464,0.83914,0.42693,0.79465,0.78454,0.78247,0.28288,1.77129,1.98979,0.86189,0.94964,0.00147728,0.00147728,0.00147728
68,3459.25,1.77269,2.30492,0.8463,0.9489,0.72335,0.73332,0.71382,0.34401,0.70052,0.70242,0.6748,0.2423,1.90927,2.08308,0.95274,0.96858,0.00146936,0.00146936,0.00146936
69,3510.02,1.74159,2.24281,0.81688,0.95202,0.69709,0.70582,0.68691,0.33192,0.67577,0.66851,0.63955,0.23239,1.91686,2.27118,0.9984,0.97515,0.00146144,0.00146144,0.00146144
70,3556.89,1.77636,2.29637,0.83626,0.95559,0.86811,0.81702,0.85623,0.46049,0.85004,0.79674,0.82812,0.36236,1.59729,1.91569,0.8066,0.92837,0.00145352,0.00145352,0.00145352
71,3612.79,1.76595,2.27639,0.85089,0.9551,0.77869,0.67111,0.72174,0.36248,0.75003,0.642,0.68339,0.26007,1.84282,2.13309,0.99115,0.96805,0.0014456,0.0014456,0.0014456
72,3664.03,1.69901,2.21144,0.81637,0.94697,0.86966,0.79986,0.84614,0.43682,0.84589,0.77699,0.81439,0.32976,1.67741,1.98025,0.86615,0.94564,0.00143768,0.00143768,0.00143768
